Year,count,mean,std,min,25%,50%,75%,max
2011,8.0,279320.0,218597.91869352933,2200.0,161090.0,283000.0,355500.0,700000.0
2012,11.0,882391.4545454546,1418411.4825717087,560.0,206400.0,370000.0,727000.0,4800000.0
2013,10.0,1327220.0,2121355.7393537015,2200.0,181500.0,507000.0,1637500.0,7000000.0
2014,14.0,1171636.7142857143,1293611.9509731971,12400.0,183500.0,673700.0,1992750.0,4353528.0
2015,17.0,957264.9411764706,1206851.9692313382,1482.0,141078.0,397524.0,1473342.0,4349936.0
2016,19.0,689654.8421052631,1026388.5251712684,1400.0,82483.0,312614.0,978907.0,4296996.0
2017,19.0,998355.6842105263,1623454.4073053694,1400.0,50733.0,238754.0,1013330.0,5822544.0
2018,17.0,825457.7647058824,1079499.7198857632,980.0,104000.0,503928.0,1019374.0,3679232.0
2019,20.0,616176.6,1027629.1870914077,120.0,115463.5,199745.0,529909.5,3694280.0
2020,20.0,701990.7,1179094.0296528784,148.0,138872.0,278601.0,597586.5,4417780.0
2021,19.0,867568.6315789474,1182005.4535958138,80.0,228414.0,753326.0,942565.0,5423566.0
2022,20.0,2536746.4,7550922.99768489,728.0,191619.0,324906.0,815726.5,33740646.0
2023,17.0,2153700.9411764704,3393326.9128356995,159656.0,361228.0,564792.0,1427822.0,12077332.0
2024,1.0,1426834.0,,1426834.0,1426834.0,1426834.0,1426834.0,1426834.0
